NO_ALUNO,NU_CPF,CO_ALUNO,CO_CICLO_MATRICULA,NO_STATUS_MATRICULA,NO_CICLO_MATRICULA,DT_DATA_INICIO,CO_UNIDADE_ENSINO
AAADsE SVbQbI qiyQrz,047.575.718-43,1,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
aaGTXI aWRyrx SGEJit,486.889.264-99,2,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
aALmjd OIjCan NlmjFU,806.110.330-17,3,2649726,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,02/09/2019,2856
AAsERj yYXyju ttAJxm,912.984.167-07,4,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
aaUJFN WQULVu WZhctg,448.795.497-54,5,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
aaZNyf bNOCDF BFnzww,855.610.296-62,6,2638172,EM_CURSO,RADIOLOGIA,26/07/2019,2856
AbENCS DRupfN XATmPY,971.999.247-07,7,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
aBhsEZ fcsndL JnGwLi,125.827.205-35,8,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
abJUwT tiNMsb CZTgdk,671.987.079-96,9,2671138,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,01/08/2019,2856
aCJPiy yXbMIv VMrXTR,085.037.913-53,10,2593332,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
ACpNNM CGatDL vTtBFj,081.513.391-10,11,2608765,EM_CURSO,TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,01/04/2019,2856
AcPyjz iulOxg ufzpan,107.081.629-64,12,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
acSVOU MSdDas OKksHi,150.200.570-13,13,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
AdbuwE AyFvYe tAIZJS,568.571.551-55,14,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
ADCcqy GEqHSn FxMMtk,429.794.467-65,15,2608757,EM_CURSO,TÉCNICO EM QUÍMICA,01/04/2019,2856
aDldWF nzUIJG oQYPbT,262.247.467-67,16,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AecfcG hhHRmx rDZPln,308.851.756-45,17,2580867,EM_CURSO,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,06/02/2019,2856
aEmGTd qQTYXw QYvyVA,169.599.257-24,18,2649729,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,02/09/2019,2856
aEygjm QxuvWz BeVUhh,020.726.760-35,19,2580840,EM_CURSO,TÉCNICO EM ELETRÔNICA,06/02/2019,2856
AEZsnX vbljmt ZJZiuT,146.932.505-42,20,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AfGfvf hOZfjG niJXMP,668.138.046-09,21,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
AFKddI TXpzXn CtkYBH,310.121.538-80,22,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
AFQqqz nhDhfZ OEmQXf,080.317.260-17,23,2580857,ABANDONO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
AfxwFI eKhtrK dTXeYU,679.722.035-33,24,2580839,EM_CURSO,TÉCNICO EM ELETRÔNICA,06/02/2019,2856
agIcaW SPgvTM JWGfjx,273.653.708-30,25,2608765,EM_CURSO,TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,01/04/2019,2856
AGlDWg vJhlAF BSiFfU,962.673.651-21,26,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
agRhUZ WLwBXx WTjWLv,880.901.379-25,27,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
AgSRIy NvYEEb kxvBUB,479.498.467-61,28,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
AHBSYo dgenJc XBtVAg,916.243.036-28,29,2608770,EM_CURSO,ENGENHARIA MECÂNICA,02/04/2019,2856
